SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
15.2,8.6,54.0,3.22,2.32,0.27,1.21,0.368,7.6,8030.0,5150.0,42700.0,2600.0,1580.0,226.0,1140.0,249.0,3.34,10.3,11.3,8.98,0.0047,2100.0,2140.0,2240.0
52.4,24.4,13.2,0.812,0.78,0.203,2.5,1.57,1.27,49300.0,25900.0,18500.0,1170.0,945.0,302.0,4180.0,1890.0,0.526,19.5,20.1,17.85,0.0097,2330.0,2450.0,2500.0
55.3,29.8,3.7,1.08,0.83,0.135,2.69,2.09,1.5,46000.0,28100.0,4620.0,1370.0,891.0,178.0,3990.0,2230.0,0.615,17.4,17.8,16.67,0.02,2800.0,2800.0,2800.0
66.6,20.9,7.55,0.406,0.266,0.0851,0.877,2.44,0.825,92100.0,32700.0,15600.0,859.0,474.0,187.0,2160.0,4320.0,0.333,29.3,29.6,29.94,0.0068,2650.0,2780.0,2800.0
33.4,18.3,5.29,15.4,3.15,3.38,0.841,1.2,11.9,15200.0,9460.0,3610.0,10700.0,1850.0,2440.0,682.0,702.0,5.09,9.1,9.71,6.9,0.023,2070.0,2170.0,2200.0
40.1,23.0,26.9,1.48,0.638,0.273,1.76,0.975,1.96,22600.0,13600.0,20600.0,1010.0,484.0,200.0,2030.0,689.0,0.808,11.2,11.5,10.76,0.0191,2094.0,2201.0,2321.0
45.6,35.2,3.43,4.13,0.465,0.729,0.553,1.62,2.98,8780.0,7670.0,989.0,1220.0,115.0,223.0,190.0,400.0,1.2,4.1,4.12,4.24,0.027,2730.0,2800.0,2800.0
47.2,24.8,13.3,0.79,0.572,0.252,2.24,1.33,0.931,38100.0,21700.0,13200.0,874.0,618.0,292.0,3260.0,1320.0,0.383,16.0,16.5,17.03,0.00838,2616.0,2688.0,2754.0
42.2,19.7,19.3,3.98,0.979,0.419,2.82,1.02,5.03,26800.0,14100.0,18300.0,3860.0,802.0,421.0,3190.0,829.0,2.04,13.4,13.6,12.16,0.02,2110.0,2200.0,2360.0
29.0,23.2,35.2,2.28,0.382,0.176,0.41,0.95,3.24,12200.0,11000.0,22100.0,1460.0,206.0,117.0,306.0,510.0,1.31,8.9,8.97,8.3,0.0097,2150.0,2290.0,2590.0
28.8,19.9,37.9,2.43,0.394,0.154,0.779,0.764,2.62,11200.0,8620.0,21800.0,1550.0,198.0,93.7,551.0,388.0,1.09,7.96,8.29,8.04,0.0191,2084.0,2138.0,2304.0
22.6,14.2,55.3,0.8,0.631,0.783,0.6,0.4,2.4,8470.0,6030.0,31000.0,458.0,305.0,465.0,400.0,192.0,1.0,7.7,8.02,6.9,0.036,1950.0,2045.0,2085.0
56.5,25.0,8.55,0.784,0.88,0.23,2.64,1.19,1.4,36400.0,18200.0,8250.0,773.0,731.0,235.0,3040.0,980.0,0.572,13.5,13.8,12.66,0.012,2690.0,2780.0,2800.0
