Sample_ID,Ash_Deformation,Ash_Softening,Ash_Fluid,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO
W210279,2710.0,2790.0,2800.0,55.5,27.8,4.96,1.26,0.78,0.243,3.09,2.09,1.45,19400.0,11000.0,2600.0,673.0,352.0,135.0,1920.0,935.0,0.587,7.4,7.48,16.8,0.023
W210280,2780.0,2800.0,2800.0,58.2,28.0,1.67,1.97,0.78,0.149,2.21,2.79,1.58,42100.0,23000.0,1810.0,2180.0,728.0,170.0,2850.0,2590.0,0.638,15.3,15.5,21.6,0.0075
W210281,2660.0,2770.0,2800.0,47.4,31.8,7.48,1.78,0.631,0.878,1.74,1.87,2.63,36700.0,27900.0,8670.0,2110.0,630.0,1080.0,2400.0,1860.0,1.06,16.4,16.6,3.4,0.014
W210282,2800.0,2800.0,2800.0,53.9,29.1,5.15,1.29,0.73,0.473,2.08,1.61,1.68,52000.0,31800.0,7430.0,1900.0,908.0,722.0,3570.0,1980.0,0.678,20.4,20.6,7.1,0.0057
W210283,2570.0,2660.0,2750.0,44.2,29.7,11.8,2.56,0.963,0.459,1.24,1.4,3.25,6930.0,5270.0,2760.0,614.0,195.0,114.0,346.0,282.0,1.32,3.3,3.35,2.7,0.007
W210284,2800.0,2800.0,2800.0,52.1,35.7,3.15,1.54,0.382,0.162,0.577,2.21,1.75,13600.0,10500.0,1230.0,614.0,128.0,66.9,268.0,736.0,0.71,5.5,5.58,4.8,0.0031
W210285,2800.0,2800.0,2800.0,65.4,24.8,2.13,0.462,0.714,0.162,2.3,1.32,0.85,7410.0,3190.0,361.0,80.0,104.0,29.1,463.0,192.0,0.343,2.4,2.42,29.0,0.0045
W210286,2800.0,2800.0,2800.0,50.7,36.4,2.3,1.47,0.465,0.257,1.45,1.45,1.38,10300.0,8410.0,702.0,458.0,122.0,82.9,528.0,379.0,0.558,4.3,4.36,7.3,0.004
W210291,2800.0,2800.0,2800.0,58.0,30.4,2.04,0.392,0.83,0.203,3.31,1.69,0.725,75400.0,44800.0,3980.0,780.0,1390.0,418.0,7660.0,2810.0,0.296,27.3,27.9,28.87,0.0057
W210292,2590.0,2680.0,2780.0,43.1,31.3,15.7,1.37,0.531,0.203,1.57,1.04,1.6,10200.0,8390.0,5560.0,497.0,162.0,76.0,664.0,314.0,0.662,4.9,5.07,4.92,0.0055
W210293,2760.0,2800.0,2800.0,56.4,27.2,7.24,0.364,0.764,0.203,2.98,1.19,0.85,87600.0,47900.0,16800.0,864.0,1530.0,499.0,8240.0,2360.0,0.347,32.6,33.2,33.1,0.006
W210294,2800.0,2800.0,2800.0,48.0,37.0,2.46,2.07,0.548,0.324,1.42,0.92,1.25,15800.0,13800.0,1210.0,1040.0,232.0,169.0,831.0,387.0,0.51,6.9,7.04,6.55,0.0073
W210295,2020.0,2160.0,2230.0,9.76,4.93,63.9,4.05,0.448,0.23,0.445,0.301,3.65,3710.0,2120.0,36400.0,2350.0,220.0,138.0,301.0,147.0,1.49,8.0,8.14,7.94,0.03
W210296,2270.0,2370.0,2460.0,47.0,23.6,10.6,4.54,0.88,0.351,2.18,1.19,2.5,35600.0,20200.0,12000.0,5250.0,858.0,421.0,2930.0,1150.0,1.02,15.9,16.2,14.81,0.025
W210297,2420.0,2540.0,2620.0,52.5,23.5,6.11,4.5,0.946,0.419,2.57,1.19,2.55,33900.0,17200.0,5890.0,4430.0,787.0,428.0,2950.0,980.0,1.04,13.5,13.8,13.01,0.031
W210298,2270.0,2420.0,2530.0,43.2,24.1,11.0,6.27,0.963,0.351,2.28,1.17,3.38,23700.0,15000.0,9040.0,5260.0,682.0,306.0,2230.0,823.0,1.38,11.5,11.8,11.02,0.027
W210299,2300.0,2580.0,2640.0,42.2,27.6,14.2,3.46,1.1,0.392,2.85,0.97,2.58,26000.0,19200.0,13100.0,3250.0,869.0,382.0,3120.0,764.0,1.05,12.9,13.2,13.52,0.017
W210300,2240.0,2360.0,2560.0,34.6,25.7,18.6,3.66,1.29,0.635,3.28,1.35,4.55,10900.0,9140.0,8740.0,1750.0,524.0,316.0,1830.0,544.0,1.85,6.6,6.72,6.84,0.04
W210301,2520.0,2640.0,2710.0,61.1,22.6,4.76,1.26,1.28,0.662,3.22,1.2,1.53,45900.0,19200.0,5350.0,1450.0,1240.0,788.0,4310.0,1160.0,0.621,15.8,16.1,15.52,0.017
W210302,2560.0,2640.0,2700.0,55.4,23.4,7.05,2.49,1.28,0.446,2.61,1.25,3.0,21600.0,10300.0,4120.0,1490.0,643.0,276.0,1810.0,626.0,1.22,8.2,8.35,8.29,0.024
W210303,2180.0,2240.0,2300.0,31.0,21.3,30.5,3.5,0.764,0.203,0.829,1.77,2.78,10500.0,8150.0,15400.0,1810.0,333.0,109.0,499.0,767.0,1.15,7.0,7.23,2.97,0.012
W210304,2000.0,2100.0,2220.0,36.7,23.5,14.1,7.07,1.64,0.27,2.13,1.15,6.1,4750.0,3450.0,2740.0,1400.0,275.0,55.5,491.0,191.0,2.51,2.7,2.77,6.59,0.09
W210305,2540.0,2710.0,2800.0,44.9,31.4,10.9,1.11,0.714,0.27,2.08,1.79,1.5,14700.0,11600.0,5320.0,552.0,300.0,140.0,1210.0,747.0,0.607,6.9,6.98,6.08,0.011
W210306,2540.0,2710.0,2800.0,38.5,23.0,8.15,1.3,0.88,0.324,1.79,1.42,1.27,10800.0,7270.0,3410.0,556.0,317.0,144.0,891.0,508.0,0.517,5.9,5.98,5.71,0.01
W210307,2530.0,2620.0,2720.0,48.9,26.4,9.64,2.21,1.05,0.284,2.8,1.35,2.4,23100.0,14100.0,6810.0,1600.0,637.0,212.0,2350.0,819.0,0.98,9.9,10.1,9.2,0.011
W210308,2490.0,2590.0,2640.0,47.3,26.7,11.5,2.32,1.08,0.27,2.78,1.35,2.75,20300.0,12900.0,7350.0,1520.0,597.0,184.0,2120.0,743.0,1.12,9.0,9.18,8.64,0.012
W210309,2650.0,2750.0,2800.0,45.5,32.1,9.47,1.99,0.78,0.392,1.59,1.42,2.35,3230.0,2580.0,1010.0,216.0,71.4,44.0,200.0,129.0,0.951,1.5,1.52,1.92,0.019
W210310,2230.0,2500.0,2580.0,40.0,24.7,24.9,1.47,0.664,0.23,1.53,0.97,1.63,11500.0,8070.0,10700.0,648.0,247.0,105.0,784.0,358.0,0.658,6.1,6.17,6.55,0.012
W210311,2710.0,2800.0,2800.0,46.0,31.8,11.0,0.602,0.979,0.23,3.77,1.15,1.23,17400.0,13700.0,6250.0,349.0,478.0,138.0,2550.0,559.0,0.497,8.0,8.11,8.04,0.007
W210312,2640.0,2710.0,2760.0,49.8,26.7,12.7,1.68,0.614,0.338,1.41,1.4,2.2,5410.0,3290.0,2070.0,279.0,86.0,58.1,272.0,195.0,0.889,2.3,2.32,2.21,0.049
W210313,2730.0,2800.0,2800.0,65.8,21.5,3.39,1.04,0.564,0.176,1.36,3.31,1.4,24900.0,9190.0,1920.0,598.0,275.0,105.0,914.0,1600.0,0.573,7.9,8.09,7.15,0.0039
W210314,2760.0,2800.0,2800.0,52.7,31.0,3.39,2.35,0.681,0.297,1.13,2.19,2.0,13600.0,9050.0,1310.0,928.0,226.0,121.0,519.0,723.0,0.818,5.4,5.52,5.37,0.01
W210315,2640.0,2720.0,2780.0,42.2,29.6,17.7,1.5,0.764,0.203,1.35,1.44,1.9,19700.0,15700.0,12400.0,1070.0,461.0,150.0,1120.0,861.0,0.777,9.8,10.0,9.4,0.044
W210316,2060.0,2140.0,2240.0,32.3,18.1,31.7,3.94,0.996,0.297,1.67,1.15,4.0,12200.0,7710.0,17900.0,2260.0,483.0,177.0,1120.0,556.0,1.63,7.9,8.06,6.8,0.022
W210317,2760.0,2800.0,2800.0,50.6,31.9,3.95,1.78,1.24,0.459,3.0,1.67,1.75,25100.0,17900.0,2920.0,1350.0,794.0,360.0,2650.0,1060.0,0.713,10.4,10.6,9.59,0.013
W210319,2400.0,2650.0,2800.0,43.7,28.3,14.4,1.85,1.28,0.351,3.5,1.09,2.2,18700.0,13700.0,9200.0,1210.0,704.0,238.0,2660.0,594.0,0.903,8.9,9.14,9.22,0.053
W210320,1980.0,2140.0,2250.0,39.2,18.8,25.2,4.12,0.714,0.297,2.13,1.04,2.78,28500.0,15500.0,27400.0,4570.0,669.0,342.0,2750.0,964.0,1.13,15.3,15.6,13.33,0.027
W210321,2440.0,2520.0,2610.0,48.4,24.7,4.98,8.1,0.963,0.338,2.34,1.22,1.58,32300.0,18700.0,4970.0,8260.0,829.0,357.0,2790.0,1040.0,0.643,14.0,14.3,12.8,0.02
W210322,2550.0,2650.0,2710.0,57.7,24.5,5.16,2.16,1.15,0.554,2.67,1.24,1.7,43800.0,21100.0,5870.0,2500.0,1120.0,666.0,3610.0,1200.0,0.695,15.9,16.3,13.75,0.019
W210323,2650.0,2780.0,2800.0,55.7,29.0,3.33,2.13,0.78,0.0675,1.09,2.04,2.63,22100.0,13000.0,1980.0,1290.0,399.0,42.4,772.0,1040.0,1.07,8.3,8.48,7.7,0.07
W210324,2700.0,2800.0,2800.0,51.0,30.1,7.18,1.16,0.896,1.15,2.36,1.1,1.55,12300.0,8200.0,2580.0,427.0,278.0,438.0,1010.0,340.0,0.626,5.1,5.15,4.4,0.016
W210325,2140.0,2230.0,2360.0,42.8,21.1,18.7,4.3,1.26,0.23,2.04,1.17,3.85,8480.0,4730.0,5550.0,1300.0,323.0,72.1,721.0,297.0,1.56,4.2,4.24,3.4,0.15
W210326,2800.0,2800.0,2800.0,48.3,33.5,7.11,1.92,0.647,0.108,1.94,1.66,1.93,15100.0,11800.0,3320.0,914.0,260.0,53.4,1070.0,661.0,0.779,6.6,6.67,6.2,0.0033
W210327,2800.0,2800.0,2800.0,56.3,30.1,3.99,0.588,0.614,0.054,2.66,2.78,1.02,57000.0,34500.0,6050.0,911.0,802.0,86.8,4790.0,3600.0,0.416,21.4,21.7,18.5,0.0059
W210328,2800.0,2800.0,2800.0,50.1,34.9,5.09,1.05,0.714,0.176,3.21,1.4,1.33,23800.0,18800.0,3620.0,762.0,437.0,132.0,2710.0,854.0,0.539,10.0,10.2,10.2,0.0046
W210329,2800.0,2800.0,2800.0,44.9,34.5,6.76,2.62,0.88,0.189,2.88,1.69,1.9,14900.0,13000.0,3360.0,1330.0,377.0,99.5,1710.0,718.0,0.772,7.0,7.11,6.2,0.0069
W210332,2790.0,2800.0,2800.0,49.8,29.8,8.78,0.812,1.21,0.446,4.12,1.2,1.4,20600.0,14000.0,5450.0,515.0,648.0,293.0,3050.0,639.0,0.565,8.8,8.88,9.1,0.023
W210336,2750.0,2800.0,2800.0,44.4,37.3,5.11,2.48,0.797,0.176,1.71,1.1,2.3,14000.0,13300.0,2410.0,1190.0,324.0,87.7,958.0,445.0,0.927,6.7,6.75,6.9,0.0067
W210337,2760.0,2800.0,2800.0,59.7,24.7,4.38,1.78,0.913,0.122,2.06,2.04,1.9,25700.0,12000.0,2820.0,1170.0,507.0,83.0,1580.0,1130.0,0.77,9.1,9.22,11.2,0.013
W210338,2800.0,2800.0,2800.0,53.9,32.3,4.35,0.672,0.747,0.486,2.7,1.47,1.1,14700.0,9980.0,1780.0,280.0,263.0,210.0,1310.0,514.0,0.443,5.8,5.84,6.1,0.0067
W210339,2790.0,2800.0,2800.0,45.3,34.5,13.8,0.672,0.398,0.0405,0.841,1.96,1.2,29300.0,25300.0,13400.0,664.0,332.0,41.5,968.0,1620.0,0.488,13.6,13.8,10.4,0.017
W210340,1930.0,2020.0,2080.0,23.3,13.6,45.1,3.54,0.847,0.54,1.17,0.702,3.55,6080.0,4000.0,17600.0,1410.0,285.0,223.0,542.0,235.0,1.44,5.5,5.58,5.8,0.028
W210341,2800.0,2800.0,2800.0,48.7,33.9,4.29,1.74,0.896,0.203,2.78,1.71,2.23,13300.0,10500.0,1760.0,726.0,316.0,87.8,1350.0,597.0,0.898,5.8,5.85,6.7,0.0041
W210342,2800.0,2800.0,2800.0,51.7,29.8,8.25,0.798,0.73,0.365,2.25,1.57,1.3,15100.0,9810.0,3600.0,355.0,274.0,168.0,1170.0,586.0,0.523,6.2,6.23,7.0,0.023
